condition,boundary,dprime_mean,dprime_std,criterion_mean,criterion_std
item_only,post,2.3617171595408455,0.6789582095401798,0.6674036547282205,0.34614723411135423
item_only,mid,2.3665456094723405,0.654197031513087,0.664989429762473,0.3157596938251621
item_only,pre,2.306859926113556,0.5457269111029922,0.6948322714418653,0.31158297921946565
both,post,2.0839188662422794,0.5458682852087137,0.7411791804881417,0.35605803952679244
both,mid,2.3020716424265646,0.6205219135583879,0.632102792395999,0.3473947740857428
both,pre,2.236927855942295,0.5618239262669092,0.6646746856381337,0.3496307468113639
task_only,post,2.1317877811126182,0.6790841598344308,0.8095537946210359,0.3515749334237458
task_only,mid,2.2477324500403926,0.6471771331879311,0.7515814601571487,0.35716682262998845
task_only,pre,2.3139065055374726,0.6912576389232638,0.7184944324086087,0.34242478645184843
