condition,boundary,mean_lure_fa_rate,se,n
item_only,post,0.2839285714285714,0.018068553747003353,56
item_only,mid,0.2857142857142857,0.020533243781378743,56
item_only,pre,0.29910714285714285,0.019301565755937982,56
both,post,0.3010204081632653,0.02321381848972892,49
both,mid,0.2836734693877551,0.0228863167195823,49
both,pre,0.3285714285714285,0.023555189211201644,49
task_only,post,0.23490566037735855,0.01883705748006349,53
task_only,mid,0.25754716981132075,0.017838384398184692,53
task_only,pre,0.24999999999999997,0.016551367023990637,53
