analysis_family,condition,contrast,n,mean_diff,t_value,p_value,cohens_dz,p_value_holm
lure_false_alarm,item_only,post-mid,56,-0.0017857142857142874,-0.10115610777177472,0.9197944065232576,-0.01351755349505578,1.0
lure_false_alarm,item_only,pre-mid,56,0.013392857142857137,0.7697231888954232,0.4447575109226132,0.10285858769649123,1.0
lure_false_alarm,item_only,post-pre,56,-0.015178571428571427,-0.8511032807021197,0.39840239804097605,-0.11373345989809362,1.0
lure_false_alarm,both,post-mid,49,0.0173469387755102,1.0791385266519304,0.28591894823177516,0.1541626466645615,1.0
lure_false_alarm,both,pre-mid,49,0.044897959183673466,2.6676875566648883,0.010382890192914293,0.38109822238069835,0.09344601173622863
lure_false_alarm,both,post-pre,49,-0.027551020408163273,-1.3326226282888674,0.1889474468356572,-0.1903746611841239,1.0
lure_false_alarm,task_only,post-mid,53,-0.022641509433962266,-1.3143572172174098,0.19449423107070143,-0.18054084858701297,1.0
lure_false_alarm,task_only,pre-mid,53,-0.007547169811320754,-0.4599676596608552,0.6474569569802984,-0.06318141712917373,1.0
lure_false_alarm,task_only,post-pre,53,-0.015094339622641504,-0.9960422500872442,0.32384215179765496,-0.13681692518870503,1.0
